iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,test_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
NZL,Oceania,New Zealand,9/23/2020,1468,4,2.429,25,0,0,304.423,0.829,0.504,5.184,0,0,5,0,0,0,0,0,0,0,,0,0,0,0,4822230,18.206,36085.843,15.322,9.72,36085.8,0,128.797,8.08,14.8,17.2,0
NIC,North America,Nicaragua,9/23/2020,4961,0,0,147,0,0,748.881,0,0,22.19,0,0,22,0,0,0,0,0,0,0,,0,0,0,0,6624550,51.667,5321.444,5.445,3.519,5321.44,3.2,137.016,11.47,0,0,0
NER,Africa,Niger,9/23/2020,1193,4,1.857,69,0,0,49.284,0.165,0.077,2.85,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,24206600,16.955,926,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978
NGA,Africa,Nigeria,9/23/2020,57613,176,162.143,1100,0,1.714,279.485,0.854,0.787,5.336,0,0.008,5,0,0.008,0,484051,2.348,0,4380,0.021,27.013,0,0,0,206140000,209.588,5338.454,2.751,1.447,5338.45,0,181.013,2.42,0.6,10.8,41.949
MNP,Oceania,Northern Mariana Islands,9/23/2020,69,0,1.143,2,0,0,1198.81,0,19.856,34.748,0,0,35,0,0,0,0,0,0,0,,0,0,0,0,57557,119.878,,0,0,0,0,194.994,0,0,0,0
NOR,Europe,Norway,9/23/2020,13000,104,103.286,267,0,0.286,2397.97,19.184,19.052,49.251,0,0.053,49,0,0.053,0,0,0,0,0,,0,0,0,0,5421240,14.462,64800.057,16.821,10.813,64800.1,0.2,114.316,5.31,19.6,20.7,0
OMN,Asia,Oman,9/23/2020,94711,660,578.714,865,12,9.714,18546.7,129.244,113.326,169.388,2.35,1.902,169,2,1.902,0,0,0,0,0,,0,0,0,0,5106620,14.98,37960.709,2.355,1.53,37960.7,0,266.342,12.61,0.5,15.6,97.4
PAK,Asia,Pakistan,9/23/2020,307418,532,618.429,6432,8,5.571,1391.71,2.408,2.8,29.118,0.036,0.025,29,0,0.025,33744,3264220,14.777,0.153,34176,0.155,55.263,0,0,0,220892000,255.573,5034.708,4.495,2.78,5034.71,4,423.031,8.35,2.8,36.7,59.607
PSE,Asia,Palestine,9/23/2020,46614,557,743,314,5,7.571,9137.46,109.185,145.646,61.552,0.98,1.484,62,1,1.484,0,0,0,0,0,,0,0,0,0,5101420,778.202,4449.898,3.043,1.726,4449.9,1,265.91,10.59,0,0,0
PAN,North America,Panama,9/23/2020,107284,474,636,2285,13,14,24864.4,109.855,147.401,529.577,3.013,3.245,530,3,3.245,0,0,0,0,0,,0,0,0,0,4314770,55.133,22267.037,7.918,5.03,22267,2.2,128.346,8.33,2.4,9.9,0
PNG,Oceania,Papua New Guinea,9/23/2020,527,1,2.286,7,0,0.143,58.902,0.112,0.255,0.782,0,0.016,1,0,0.016,0,0,0,0,0,,0,0,0,0,8947030,18.22,3823.194,3.808,2.142,3823.19,0,561.494,17.65,23.5,48.8,0
PRY,South America,Paraguay,9/23/2020,34828,568,790,705,29,21.857,4882.98,79.635,110.76,98.843,4.066,3.064,99,4,3.064,0,0,0,0,0,,0,0,0,0,7132530,17.144,8827.01,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602
PER,South America,Peru,9/23/2020,776546,3650,5503.71,31586,112,94.143,23551.8,110.701,166.922,957.969,3.397,2.855,958,3,2.855,0,0,0,0,0,,0,0,0,0,32971800,25.129,12236.706,7.151,4.455,12236.7,3.5,85.755,5.95,4.8,0,0
PHL,Asia,Philippines,9/23/2020,291789,1599,3197.43,5049,50,55.143,2662.77,14.592,29.179,46.075,0.456,0.503,46,0,0.503,0,0,0,0,0,,0,0,0,0,109581000,351.873,7599.188,4.803,2.661,7599.19,0,370.437,7.07,7.8,40.8,78.463
POL,Europe,Poland,9/23/2020,80699,711,795,2316,18,12.714,2132.26,18.786,21.006,61.194,0.476,0.336,61,0,0.336,0,0,0,0,0,,0,0,0,0,37846600,124.027,27216.445,16.763,10.202,27216.4,0,227.331,5.91,23.3,33.1,0
PRT,Europe,Portugal,9/23/2020,69663,463,663.143,1925,5,7.143,6831.91,45.407,65.035,188.786,0.49,0.701,189,0,0.701,0,0,0,0,0,,0,0,0,0,10196700,112.371,27936.896,21.502,14.924,27936.9,0.5,127.842,9.85,16.3,30,0
PRI,North America,Puerto Rico,9/23/2020,42596,120,632,613,4,8.857,14889.3,41.946,220.914,214.273,1.398,3.096,214,1,3.096,0,0,0,0,0,,0,0,0,0,2860840,376.232,35044.67,15.168,9.829,35044.7,0,108.094,12.9,0,0,0
QAT,Asia,Qatar,9/23/2020,123917,313,243.286,211,0,0.429,43010.9,108.641,84.443,73.237,0,0.149,73,0,0.149,0,0,0,0,0,,0,0,0,0,2881060,227.322,116935.6,1.307,0.617,116936,0,176.69,16.52,0.8,26.9,0
ROU,Europe,Romania,9/23/2020,114648,1059,1335.71,4503,45,38.143,5959.55,55.048,69.432,234.072,2.339,1.983,234,2,1.983,0,0,0,0,0,,0,0,0,0,19237700,85.129,23313.199,17.85,11.69,23313.2,5.7,370.946,9.74,22.9,37.1,0
RUS,Europe,Russia,9/23/2020,1115810,6215,5994.43,19649,160,123.429,7645.97,42.588,41.076,134.643,1.096,0.846,135,1,0.846,0,0,0,0,0,,0,0,0,0,145934000,8.823,24765.954,14.178,9.393,24766,0.1,431.297,6.18,23.4,58.3,0
RWA,Africa,Rwanda,9/23/2020,4738,16,16.286,27,0,0.714,365.806,1.235,1.257,2.085,0,0.055,2,0,0.055,0,0,0,0,0,,0,0,0,0,12952200,494.869,1854.211,2.974,1.642,1854.21,56,191.375,4.28,4.7,21,4.617
KNA,North America,Saint Kitts and Nevis,9/23/2020,19,0,0.286,0,0,0,357.197,0,5.371,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,53192,212.865,24654.385,0,0,24654.4,0,0,12.84,0,0,0
LCA,North America,Saint Lucia,9/23/2020,27,0,0,0,0,0,147.036,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,183629,293.187,12951.839,9.721,6.405,12951.8,0,204.62,11.62,0,0,87.202
VCT,North America,Saint Vincent and the Grenadin,9/23/2020,64,0,0,0,0,0,576.852,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,110947,281.787,10727.146,7.724,4.832,10727.1,0,252.675,11.62,0,0,0
SMR,Europe,San Marino,9/23/2020,723,0,0,42,0,0,21303.6,0,0,1237.551,0,0,1238,0,0,0,0,0,0,0,,0,0,0,0,33938,556.667,56861.47,0,0,56861.5,0,0,5.64,0,0,0
STP,Africa,Sao Tome and Principe,9/23/2020,908,0,0.143,15,0,0,4143.07,0,0.652,68.443,0,0,68,0,0,0,0,0,0,0,,0,0,0,0,219161,212.841,3052.714,2.886,2.162,3052.71,32.3,270.113,2.42,0,0,41.34
SAU,Asia,Saudi Arabia,9/23/2020,330798,552,552.571,4542,30,29.143,9501.9,15.856,15.872,130.465,0.862,0.837,130,1,0.837,0,0,0,0,0,,0,0,0,0,34813900,15.322,49045.411,3.295,1.845,49045.4,0,259.538,17.72,1.8,25.4,0
SEN,Africa,Senegal,9/23/2020,14759,21,32.857,302,0,0.571,881.454,1.254,1.962,18.036,0,0.034,18,0,0.034,0,0,0,0,0,,0,0,0,0,16743900,82.328,2470.58,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859
SRB,Europe,Serbia,9/23/2020,32999,61,69.714,743,0,1.143,4849.52,8.965,10.245,109.191,0,0.168,109,0,0.168,0,0,0,0,0,,0,0,0,0,6804600,80.291,14048.881,17.366,0,14048.9,0,439.415,10.08,37.7,40.2,97.719
SYC,Africa,Seychelles,9/23/2020,143,0,0.429,0,0,0,1454.14,0,4.358,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,98340,208.354,26382.287,8.606,5.586,26382.3,1.1,242.648,10.55,7.1,35.7,0
SLE,Africa,Sierra Leone,9/23/2020,2174,6,6.857,72,0,0,272.534,0.752,0.86,9.026,0,0,9,0,0,0,0,0,0,0,,0,0,0,0,7976980,104.7,1390.3,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275
SGP,Asia,Singapore,9/23/2020,57627,21,19.857,27,0,0,9850.19,3.59,3.394,4.615,0,0,5,0,0,0,0,0,0,0,,0,0,0,0,5850340,7915.73,85535.383,12.922,7.049,85535.4,0,92.243,10.99,5.2,28.3,0
SXM,North America,Sint Maarten (Dutch part),9/23/2020,594,3,6.429,20,0,0.143,13852,69.959,149.913,466.396,0,3.331,466,0,3.331,0,0,0,0,0,,0,0,0,0,42882,1209.09,36327.232,0,0,36327.2,0,0,0,0,0,0
SVK,Europe,Slovakia,9/23/2020,6931,175,166.143,40,1,0.286,1269.5,32.053,30.431,7.326,0.183,0.052,7,0,0.052,6231,423095,77.495,1.141,4230,0.775,25.46,0,0,0,5459640,113.128,30155.152,15.07,9.167,30155.2,0.7,287.959,7.29,23.1,37.7,0
SVN,Europe,Slovenia,9/23/2020,4558,88,103,133,0,0.286,2192.47,42.329,49.545,63.975,0,0.137,64,0,0.137,0,0,0,0,0,,0,0,0,0,2078930,102.619,31400.84,19.062,12.93,31400.8,0,153.493,7.25,20.1,25,0
SOM,Africa,Somalia,9/23/2020,3465,0,10.857,98,0,0,218.018,0,0.683,6.166,0,0,6,0,0,0,0,0,0,0,,0,0,0,0,15893200,23.5,,2.731,1.496,0,0,365.769,6.05,0,0,9.831
ZAF,Africa,South Africa,9/23/2020,663282,1346,1680.14,16118,126,68.143,11183.6,22.695,28.329,271.765,2.124,1.149,272,2,1.149,0,0,0,0,0,,0,0,0,0,59308700,46.754,12294.876,5.344,3.053,12294.9,18.9,200.38,5.52,8.1,33.2,43.993
KOR,Asia,South Korea,9/23/2020,23216,110,101.714,388,0,3,452.826,2.146,1.984,7.568,0,0.059,8,0,0.059,14482,2236370,43.62,0.282,11912,0.232,117.112,0,0,0,51269200,527.967,35938.374,13.914,8.622,35938.4,0.2,85.998,6.8,6.2,40.9,0
SSD,Africa,South Sudan,9/23/2020,2660,11,9.714,49,0,0,237.633,0.983,0.868,4.377,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,11193700,0,1569.888,3.441,2.032,1569.89,0,280.775,10.43,0,0,0
LKA,Asia,Sri Lanka,9/23/2020,3313,14,6,13,0,0,154.717,0.654,0.28,0.607,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,21413200,341.955,11669.077,10.069,5.331,11669.1,0.7,197.093,10.68,0.3,27,0
SDN,Africa,Sudan,9/23/2020,13578,23,6.143,836,0,0,309.652,0.525,0.14,19.065,0,0,19,0,0,0,0,0,0,0,,0,0,0,0,43849300,23.258,4466.507,3.548,2.034,4466.51,0,431.388,15.67,0,0,23.437
SUR,South America,Suriname,9/23/2020,4759,19,19.143,100,3,0.714,8112.38,32.388,32.632,170.464,5.114,1.218,170,5,1.218,0,0,0,0,0,,0,0,0,0,586634,3.612,13767.119,6.933,4.229,13767.1,0,258.314,12.54,7.4,42.9,67.779
SWZ,Africa,Swaziland,9/23/2020,5307,25,25.571,106,2,0.714,4574.35,21.549,22.041,91.366,1.724,0.616,91,2,0.616,0,0,0,0,0,,0,0,0,0,1160160,79.492,7738.975,3.163,1.845,7738.98,0,333.436,3.94,1.7,16.5,24.097
CHE,Europe,Switzerland,9/23/2020,50548,284,415.429,1772,3,3.571,5840.58,32.815,48.001,204.746,0.347,0.413,205,0,0.413,0,0,0,0,0,,0,0,0,0,8654620,214.243,57410.166,18.436,12.644,57410.2,0,99.739,5.59,22.6,28.9,0
SYR,Asia,Syria,9/23/2020,3877,44,37.571,178,3,2.571,221.535,2.514,2.147,10.171,0.171,0.147,10,0,0.147,0,0,0,0,0,,0,0,0,0,17500700,0,,0,2.577,0,0,376.264,0,0,0,70.598
TWN,Asia,Taiwan,9/23/2020,509,0,1.286,7,0,0,21.371,0,0.054,0.294,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,23816800,0,,0,8.353,0,0,103.957,0,0,0,0
TJK,Asia,Tajikistan,9/23/2020,9432,44,43.286,73,0,0,988.924,4.613,4.538,7.654,0,0,8,0,0,0,0,0,0,0,,0,0,0,0,9537640,64.281,2896.913,3.466,2.155,2896.91,4.8,427.698,7.11,0,0,72.704
TZA,Africa,Tanzania,9/23/2020,509,0,0,21,0,0,8.521,0,0,0.352,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,59734200,64.699,2683.304,3.108,1.874,2683.3,49.1,217.288,5.75,3.3,26.7,47.953
THA,Asia,Thailand,9/23/2020,3514,3,3.429,59,0,0.143,50.344,0.043,0.049,0.845,0,0.002,1,0,0.002,0,0,0,0,0,,0,0,0,0,69800000,135.132,16277.671,11.373,6.89,16277.7,0.1,109.861,7.04,1.9,38.8,90.67
TLS,Asia,Timor,9/23/2020,27,0,0,0,0,0,20.479,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1318440,87.176,6570.102,3.556,1.897,6570.1,30.3,335.346,6.86,6.3,78.1,28.178
TGO,Africa,Togo,9/23/2020,1683,14,12.571,41,0,0.143,203.292,1.691,1.519,4.952,0,0.017,5,0,0.017,0,0,0,0,0,,0,0,0,0,8278740,143.366,1429.813,2.839,1.525,1429.81,49.2,280.033,6.15,0.9,14.2,10.475
TTO,North America,Trinidad and Tobago,9/23/2020,4026,81,114.714,65,0,1.286,2876.76,57.878,81.969,46.445,0,0.919,46,0,0.919,0,0,0,0,0,,0,0,0,0,1399490,266.886,28763.071,10.014,5.819,28763.1,0,228.467,10.97,0,0,89.443
TUN,Africa,Tunisia,9/23/2020,11260,0,519.571,164,0,5.857,952.734,0,43.962,13.876,0,0.496,14,0,0.496,0,0,0,0,0,,0,0,0,0,11818600,74.228,10849.297,8.001,5.075,10849.3,2,318.991,8.52,1.1,65.8,78.687
TUR,Asia,Turkey,9/23/2020,306302,1692,1668.86,7639,65,64.714,3631.79,20.062,19.787,90.575,0.771,0.767,91,1,0.767,0,0,0,0,0,,0,0,0,0,84339100,104.914,25129.341,8.153,5.061,25129.3,0.2,171.285,12.13,14.1,41.1,0
TCA,North America,Turks and Caicos Islands,9/23/2020,672,4,3.143,5,0,0,17356.3,103.311,81.173,129.139,0,0,129,0,0,0,0,0,0,0,,0,0,0,0,38718,37.312,,0,0,0,0,0,0,0,0,0
UGA,Africa,Uganda,9/23/2020,6712,244,227,64,1,0.857,146.739,5.334,4.963,1.399,0.022,0.019,1,0,0.019,0,0,0,0,0,,0,0,0,0,45741000,213.759,1697.707,2.168,1.308,1697.71,41.6,213.333,2.5,3.4,16.7,21.222
UKR,Europe,Ukraine,9/23/2020,181237,2884,2653.86,3642,59,43.143,4144.1,65.944,60.682,83.277,1.349,0.986,83,1,0.986,22895,2102380,48.072,0.524,25271,0.578,9.522,0,0,0,43733800,77.39,7894.393,16.462,11.133,7894.39,0.1,539.849,7.11,13.5,47.4,0
ARE,Asia,United Arab Emirates,9/23/2020,86447,852,786.714,405,0,0.571,8740.5,86.144,79.543,40.949,0,0.058,41,0,0.058,0,0,0,0,0,,0,0,0,0,9890400,112.442,67293.483,1.144,0.526,67293.5,0,317.84,17.26,1.2,37.4,0
GBR,Europe,United Kingdom,9/23/2020,403551,4926,4189,41825,37,23,5944.54,72.563,61.706,616.106,0.545,0.339,616,1,0.339,0,0,0,0,0,,0,0,0,0,67886000,272.898,39753.244,18.517,12.527,39753.2,0.2,122.137,4.28,20,24.7,0
USA,North America,United States,9/23/2020,6896274,38307,41425.9,200807,926,695.714,20834.5,115.73,125.153,606.663,2.798,2.102,607,3,2.102,0,0,0,0,0,,0,0,0,0,331003000,35.608,54225.446,15.413,9.732,54225.4,1.2,151.089,10.79,19.1,24.6,0
VIR,North America,United States Virgin Islands,9/23/2020,1278,9,6.571,19,0,0,12238.7,86.188,62.931,181.952,0,0,182,0,0,0,0,0,0,0,,0,0,0,0,104423,306.48,,18.601,10.799,0,0,273.67,12.26,0,0,0
URY,South America,Uruguay,9/23/2020,1934,7,15.286,46,0,0.143,556.751,2.015,4.4,13.242,0,0.041,13,0,0.041,0,0,0,0,0,,0,0,0,0,3473730,19.751,20551.409,14.655,10.361,20551.4,0.1,160.708,6.93,14,19.9,0
UZB,Asia,Uzbekistan,9/23/2020,53051,560,610.714,443,3,5.429,1585.07,16.732,18.247,13.236,0.09,0.162,13,0,0.162,0,0,0,0,0,,0,0,0,0,33469200,76.134,6253.104,4.469,2.873,6253.1,0,724.417,7.57,1.3,24.7,0
VAT,Europe,Vatican,9/23/2020,12,0,0,0,0,0,14833.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,809,0,,0,0,0,0,0,0,0,0,0
VEN,South America,Venezuela,9/23/2020,68453,1010,828.286,564,9,8.857,2407.27,35.518,29.128,19.834,0.317,0.311,20,0,0.311,0,0,0,0,0,,0,0,0,0,28435900,36.253,16745.022,6.614,3.915,16745,0,204.85,6.47,0,0,0
VNM,Asia,Vietnam,9/23/2020,1068,0,0.714,35,0,0,10.972,0,0.007,0.36,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,97338600,308.127,6171.884,7.15,4.718,6171.88,2,245.465,6,1,45.9,85.847
ESH,Africa,Western Sahara,9/23/2020,766,0,0,1,0,0,1282.37,0,0,1.674,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,597330,0,,0,1.38,0,0,0,0,0,0,0
YEM,Asia,Yemen,9/23/2020,2032,2,2.286,587,0,0.571,68.129,0.067,0.077,19.681,0,0.019,20,0,0.019,0,0,0,0,0,,0,0,0,0,29826000,53.508,1479.147,2.922,1.583,1479.15,18.8,495.003,5.35,7.6,29.2,49.542
ZMB,Africa,Zambia,9/23/2020,14389,214,81.429,331,0,1,782.693,11.641,4.429,18.005,0,0.054,18,0,0.054,0,0,0,0,0,,0,0,0,0,18384000,22.995,3689.251,2.48,1.542,3689.25,57.5,234.499,3.94,3.1,24.7,13.938
ZWE,Africa,Zimbabwe,9/23/2020,7711,5,19.286,226,0,0.286,518.808,0.336,1.298,15.206,0,0.019,15,0,0.019,0,0,0,0,0,,0,0,0,0,14862900,42.729,1899.775,2.822,1.882,1899.78,21.4,307.846,1.82,1.6,30.7,36.791
OWI,,World,9/23/2020,31658573,267687,290257,971869,5937,5120.29,4061.5,34.342,37.237,124.682,0.762,0.657,125,1,0.657,0,0,0,0,0,,0,0,0,0,7794800000,58.045,15469.207,8.696,5.355,15469.2,10,233.07,8.51,6.434,34.635,60.13
,,International,9/23/2020,696,0,0,7,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
